department,date,rainfall_qty,year,month_name,month
DONGA,2021-01-01,0.0,2021,January,1
ZOU,2021-01-01,0.0,2021,January,1
HILLS,2021-01-01,0.409375,2021,January,1
MONO,2021-01-01,4.892307692307693,2021,January,1
COUFFO,2021-01-01,0.0,2021,January,1
OUEME,2021-01-01,12.458823529411765,2021,January,1
PLATEAU,2021-01-01,0.2210526315789474,2021,January,1
ATLANTIC,2021-01-01,12.083333333333332,2021,January,1
LITTORAL,2021-01-01,42.413333333333334,2021,January,1
BORGOU,2022-01-01,0.0,2022,January,1
ALIBORI,2022-01-01,0.0,2022,January,1
ATACORA,2022-01-01,0.0,2022,January,1
DONGA,2022-01-01,0.0,2022,January,1
ZOU,2022-01-01,0.0,2022,January,1
HILLS,2022-01-01,0.0,2022,January,1
MONO,2022-01-01,1.2941176470588236,2022,January,1
COUFFO,2022-01-01,0.0,2022,January,1
OUEME,2022-01-01,0.9117647058823529,2022,January,1
PLATEAU,2022-01-01,0.0,2022,January,1
ATLANTIC,2022-01-01,2.5,2022,January,1
LITTORAL,2022-01-01,0.0,2022,January,1
BORGOU,2023-01-01,1.228125,2023,January,1
ALIBORI,2023-01-01,0.0,2023,January,1
ATACORA,2023-01-01,0.0,2023,January,1
DONGA,2023-01-01,0.9666666666666667,2023,January,1
ZOU,2023-01-01,0.0,2023,January,1
HILLS,2023-01-01,0.0,2023,January,1
MONO,2023-01-01,0.45454545454545453,2023,January,1
COUFFO,2023-01-01,7.427142857142857,2023,January,1
OUEME,2023-01-01,0.27647058823529413,2023,January,1
PLATEAU,2023-01-01,3.1149999999999998,2023,January,1
ATLANTIC,2023-01-01,14.674999999999999,2023,January,1
LITTORAL,2023-01-01,0.0,2023,January,1
BORGOU,2012-02-01,26.33,2012,February,2
ALIBORI,2012-02-01,16.13,2012,February,2
ATACORA,2012-02-01,28.2,2012,February,2
DONGA,2012-02-01,70.31,2012,February,2
ZOU,2012-02-01,32.71,2012,February,2
HILLS,2012-02-01,31.76,2012,February,2
MONO,2012-02-01,42.48,2012,February,2
COUFFO,2012-02-01,33.6,2012,February,2
OUEME,2012-02-01,39.32,2012,February,2
PLATEAU,2012-02-01,41.41,2012,February,2
ATLANTIC,2012-02-01,25.21,2012,February,2
LITTORAL,2012-02-01,116.75,2012,February,2
BORGOU,2013-02-01,4.25,2013,February,2
ALIBORI,2013-02-01,0.0,2013,February,2
ATACORA,2013-02-01,3.988888888888889,2013,February,2
DONGA,2013-02-01,0.0,2013,February,2
ZOU,2013-02-01,11.944444444444445,2013,February,2
HILLS,2013-02-01,14.74888888888889,2013,February,2
MONO,2013-02-01,27.572222222222223,2013,February,2
COUFFO,2013-02-01,0.0,2013,February,2
OUEME,2013-02-01,36.84,2013,February,2
PLATEAU,2013-02-01,10.483333333333334,2013,February,2
ATLANTIC,2013-02-01,37.51625000000001,2013,February,2
LITTORAL,2013-02-01,72.5,2013,February,2
BORGOU,2014-02-01,1.27875,2014,February,2
ALIBORI,2014-02-01,0.0,2014,February,2
ATACORA,2014-02-01,0.0,2014,February,2
DONGA,2014-02-01,2.1666666666666665,2014,February,2
ZOU,2014-02-01,20.41,2014,February,2
HILLS,2014-02-01,8.733333333333334,2014,February,2
MONO,2014-02-01,33.578947368421055,2014,February,2
COUFFO,2014-02-01,31.152,2014,February,2
OUEME,2014-02-01,67.46296296296296,2014,February,2
PLATEAU,2014-02-01,50.988,2014,February,2
ATLANTIC,2014-02-01,47.705625,2014,February,2
LITTORAL,2014-02-01,76.75,2014,February,2
BORGOU,2015-02-01,9.40566037735849,2015,February,2
ALIBORI,2015-02-01,1.515625,2015,February,2
ATACORA,2015-02-01,14.391530054644807,2015,February,2
DONGA,2015-02-01,19.93,2015,February,2
ZOU,2015-02-01,25.533333333333335,2015,February,2
HILLS,2015-02-01,10.615151515151515,2015,February,2
MONO,2015-02-01,34.85526315789474,2015,February,2
COUFFO,2015-02-01,42.812000000000005,2015,February,2
OUEME,2015-02-01,41.16875,2015,February,2
PLATEAU,2015-02-01,25.305555555555557,2015,February,2
ATLANTIC,2015-02-01,39.531111111111116,2015,February,2
LITTORAL,2015-02-01,33.75,2015,February,2
BORGOU,2016-02-01,0.2777777777777778,2016,February,2
ALIBORI,2016-02-01,0.0,2016,February,2
ATACORA,2016-02-01,0.5035118525021949,2016,February,2
DONGA,2016-02-01,0.1823529411764706,2016,February,2
ZOU,2016-02-01,5.379310344827586,2016,February,2
HILLS,2016-02-01,0.0,2016,February,2
MONO,2016-02-01,0.0,2016,February,2
COUFFO,2016-02-01,0.172,2016,February,2
OUEME,2016-02-01,0.7857142857142857,2016,February,2
PLATEAU,2016-02-01,0.0,2016,February,2
ATLANTIC,2016-02-01,0.0,2016,February,2
LITTORAL,2016-02-01,0.0,2016,February,2
BORGOU,2017-02-01,0.0,2017,February,2
ALIBORI,2017-02-01,0.0,2017,February,2
ATACORA,2017-02-01,0.0,2017,February,2
DONGA,2017-02-01,0.0,2017,February,2
ZOU,2017-02-01,16.57,2017,February,2
HILLS,2017-02-01,1.33,2017,February,2
MONO,2017-02-01,14.71,2017,February,2
COUFFO,2017-02-01,2.966666666666667,2017,February,2
OUEME,2017-02-01,9.0,2017,February,2
PLATEAU,2017-02-01,14.05,2017,February,2
ATLANTIC,2017-02-01,0.0,2017,February,2
LITTORAL,2017-02-01,0.0,2017,February,2
BORGOU,2018-02-01,9.92015306122449,2018,February,2
ALIBORI,2018-02-01,0.0,2018,February,2
ATACORA,2018-02-01,20.046666666666667,2018,February,2
DONGA,2018-02-01,10.333333333333334,2018,February,2
ZOU,2018-02-01,44.053333333333335,2018,February,2
HILLS,2018-02-01,18.7,2018,February,2
MONO,2018-02-01,103.62000000000002,2018,February,2
COUFFO,2018-02-01,44.37456140350878,2018,February,2
OUEME,2018-02-01,62.77,2018,February,2
PLATEAU,2018-02-01,46.74733333333333,2018,February,2
ATLANTIC,2018-02-01,78.54333333333332,2018,February,2
LITTORAL,2018-02-01,0.0,2018,February,2
BORGOU,2019-02-01,2.04,2019,February,2
ALIBORI,2019-02-01,0.0,2019,February,2
ATACORA,2019-02-01,0.0,2019,February,2
DONGA,2019-02-01,2.7,2019,February,2
ZOU,2019-02-01,8.3,2019,February,2
HILLS,2019-02-01,1.55,2019,February,2
MONO,2019-02-01,31.47,2019,February,2
COUFFO,2019-02-01,38.95238095238095,2019,February,2
OUEME,2019-02-01,88.0,2019,February,2
PLATEAU,2019-02-01,34.44,2019,February,2
ATLANTIC,2019-02-01,48.03333333333333,2019,February,2
LITTORAL,2019-02-01,117.0,2019,February,2
BORGOU,2020-02-01,0.0,2020,February,2
ALIBORI,2020-02-01,0.0,2020,February,2
ATACORA,2020-02-01,0.0,2020,February,2
DONGA,2020-02-01,0.0,2020,February,2
ZOU,2020-02-01,0.0,2020,February,2
HILLS,2020-02-01,0.0,2020,February,2
MONO,2020-02-01,0.0,2020,February,2
COUFFO,2020-02-01,0.0,2020,February,2
OUEME,2020-02-01,0.0,2020,February,2
PLATEAU,2020-02-01,0.994736842105263,2020,February,2
ATLANTIC,2020-02-01,0.0,2020,February,2
LITTORAL,2020-02-01,0.0,2020,February,2
BORGOU,2021-02-01,0.0,2021,February,2
ALIBORI,2021-02-01,0.0,2021,February,2
ATACORA,2021-02-01,0.0,2021,February,2
DONGA,2021-02-01,0.0,2021,February,2
ZOU,2021-02-01,0.0,2021,February,2
HILLS,2021-02-01,0.0,2021,February,2
MONO,2021-02-01,3.5,2021,February,2
COUFFO,2021-02-01,3.3,2021,February,2
OUEME,2021-02-01,10.799999999999999,2021,February,2
PLATEAU,2021-02-01,21.58421052631579,2021,February,2
ATLANTIC,2021-02-01,9.875000000000002,2021,February,2
LITTORAL,2021-02-01,0.0,2021,February,2
BORGOU,2022-02-01,0.0,2022,February,2
ALIBORI,2022-02-01,0.0,2022,February,2
ATACORA,2022-02-01,0.0,2022,February,2
DONGA,2022-02-01,0.0,2022,February,2
ZOU,2022-02-01,10.209558823529411,2022,February,2
HILLS,2022-02-01,2.846129032258064,2022,February,2
MONO,2022-02-01,0.3,2022,February,2
COUFFO,2022-02-01,1.1428571428571428,2022,February,2
OUEME,2022-02-01,3.923529411764706,2022,February,2
PLATEAU,2022-02-01,10.204545454545455,2022,February,2
ATLANTIC,2022-02-01,3.3541666666666665,2022,February,2
LITTORAL,2022-02-01,20.733333333333334,2022,February,2
BORGOU,2023-02-01,0.775,2023,February,2
ALIBORI,2023-02-01,0.0,2023,February,2
ATACORA,2023-02-01,0.26,2023,February,2
DONGA,2023-02-01,1.011111111111111,2023,February,2
ZOU,2023-02-01,11.073684210526316,2023,February,2
HILLS,2023-02-01,8.008484848484848,2023,February,2
MONO,2023-02-01,19.936363636363634,2023,February,2
COUFFO,2023-02-01,11.485714285714286,2023,February,2
OUEME,2023-02-01,13.408823529411768,2023,February,2
PLATEAU,2023-02-01,49.505,2023,February,2
ATLANTIC,2023-02-01,25.666666666666668,2023,February,2
LITTORAL,2023-02-01,2.1999999999999997,2023,February,2
BORGOU,2012-03-01,10.37,2012,March,3
ALIBORI,2012-03-01,2.67,2012,March,3
ATACORA,2012-03-01,9.31,2012,March,3
DONGA,2012-03-01,17.78,2012,March,3
ZOU,2012-03-01,49.77,2012,March,3
HILLS,2012-03-01,23.45,2012,March,3
MONO,2012-03-01,25.09,2012,March,3
COUFFO,2012-03-01,45.06,2012,March,3
OUEME,2012-03-01,44.24,2012,March,3
PLATEAU,2012-03-01,36.17,2012,March,3
ATLANTIC,2012-03-01,25.53,2012,March,3
LITTORAL,2012-03-01,30.0,2012,March,3
BORGOU,2013-03-01,27.275833333333335,2013,March,3
ALIBORI,2013-03-01,1.6666666666666667,2013,March,3
ATACORA,2013-03-01,33.58888888888888,2013,March,3
DONGA,2013-03-01,76.05,2013,March,3
ZOU,2013-03-01,87.00769841269842,2013,March,3
HILLS,2013-03-01,93.67222222222222,2013,March,3
MONO,2013-03-01,81.80555555555556,2013,March,3
COUFFO,2013-03-01,86.53222222222223,2013,March,3
OUEME,2013-03-01,91.741875,2013,March,3
PLATEAU,2013-03-01,68.35684210526315,2013,March,3
ATLANTIC,2013-03-01,78.9075,2013,March,3
LITTORAL,2013-03-01,46.25,2013,March,3
BORGOU,2014-03-01,13.775,2014,March,3
ALIBORI,2014-03-01,0.0,2014,March,3
ATACORA,2014-03-01,13.287222222222223,2014,March,3
DONGA,2014-03-01,37.44444444444444,2014,March,3
ZOU,2014-03-01,128.40666666666664,2014,March,3
HILLS,2014-03-01,93.67222222222222,2014,March,3
MONO,2014-03-01,114.6736842105263,2014,March,3
COUFFO,2014-03-01,118.3664,2014,March,3
OUEME,2014-03-01,129.74074074074073,2014,March,3
PLATEAU,2014-03-01,130.87066666666664,2014,March,3
ATLANTIC,2014-03-01,158.8925,2014,March,3
LITTORAL,2014-03-01,63.75,2014,March,3
BORGOU,2015-03-01,24.354716981132075,2015,March,3
ALIBORI,2015-03-01,6.904022177419355,2015,March,3
ATACORA,2015-03-01,3.4105263157894736,2015,March,3
DONGA,2015-03-01,31.035083333333333,2015,March,3
ZOU,2015-03-01,105.58541666666666,2015,March,3
HILLS,2015-03-01,99.84375,2015,March,3
MONO,2015-03-01,104.42625730994152,2015,March,3
COUFFO,2015-03-01,96.832,2015,March,3
OUEME,2015-03-01,95.3375,2015,March,3
PLATEAU,2015-03-01,62.48888888888889,2015,March,3
ATLANTIC,2015-03-01,119.15777777777778,2015,March,3
LITTORAL,2015-03-01,110.0,2015,March,3
BORGOU,2016-03-01,22.092414529914528,2016,March,3
ALIBORI,2016-03-01,20.917892156862745,2016,March,3
ATACORA,2016-03-01,18.19078138718174,2016,March,3
DONGA,2016-03-01,26.408571428571427,2016,March,3
ZOU,2016-03-01,88.16985714285715,2016,March,3
HILLS,2016-03-01,70.83125,2016,March,3
MONO,2016-03-01,104.09199346405228,2016,March,3
COUFFO,2016-03-01,115.43199999999999,2016,March,3
OUEME,2016-03-01,111.09714285714286,2016,March,3
PLATEAU,2016-03-01,107.75555555555555,2016,March,3
ATLANTIC,2016-03-01,107.79833333333335,2016,March,3
LITTORAL,2016-03-01,55.5,2016,March,3
BORGOU,2017-03-01,2.70625,2017,March,3
ALIBORI,2017-03-01,0.0,2017,March,3
ATACORA,2017-03-01,0.0,2017,March,3
DONGA,2017-03-01,12.28,2017,March,3
ZOU,2017-03-01,80.87,2017,March,3
HILLS,2017-03-01,45.12,2017,March,3
MONO,2017-03-01,49.51,2017,March,3
COUFFO,2017-03-01,62.86666666666667,2017,March,3
OUEME,2017-03-01,75.0,2017,March,3
PLATEAU,2017-03-01,60.32,2017,March,3
ATLANTIC,2017-03-01,139.0,2017,March,3
LITTORAL,2017-03-01,67.0,2017,March,3
BORGOU,2018-03-01,0.0,2018,March,3
ALIBORI,2018-03-01,0.0,2018,March,3
ATACORA,2018-03-01,28.2,2018,March,3
DONGA,2018-03-01,12.0,2018,March,3
ZOU,2018-03-01,90.92666666666668,2018,March,3
HILLS,2018-03-01,41.42857142857143,2018,March,3
MONO,2018-03-01,80.61666666666666,2018,March,3
COUFFO,2018-03-01,105.82523809523809,2018,March,3
OUEME,2018-03-01,54.94466666666666,2018,March,3
PLATEAU,2018-03-01,84.492,2018,March,3
ATLANTIC,2018-03-01,83.81166666666667,2018,March,3
LITTORAL,2018-03-01,109.0,2018,March,3
BORGOU,2019-03-01,9.16,2019,March,3
ALIBORI,2019-03-01,0.0,2019,March,3
ATACORA,2019-03-01,9.82,2019,March,3
DONGA,2019-03-01,34.58,2019,March,3
ZOU,2019-03-01,72.2,2019,March,3
HILLS,2019-03-01,54.45,2019,March,3
MONO,2019-03-01,113.98,2019,March,3
COUFFO,2019-03-01,103.63309523809525,2019,March,3
OUEME,2019-03-01,61.0,2019,March,3
PLATEAU,2019-03-01,74.29,2019,March,3
ATLANTIC,2019-03-01,85.89999999999999,2019,March,3
LITTORAL,2019-03-01,70.0,2019,March,3
BORGOU,2020-03-01,23.73214285714286,2020,March,3
ALIBORI,2020-03-01,0.0,2020,March,3
ATACORA,2020-03-01,11.777777777777779,2020,March,3
DONGA,2020-03-01,51.925,2020,March,3
ZOU,2020-03-01,43.05555555555556,2020,March,3
HILLS,2020-03-01,55.10171842650104,2020,March,3
MONO,2020-03-01,51.6125,2020,March,3
COUFFO,2020-03-01,51.6125,2020,March,3
OUEME,2020-03-01,27.645,2020,March,3
PLATEAU,2020-03-01,38.852631578947374,2020,March,3
ATLANTIC,2020-03-01,47.64166666666667,2020,March,3
LITTORAL,2020-03-01,39.013333333333335,2020,March,3
BORGOU,2021-03-01,11.324000000000002,2021,March,3
ALIBORI,2021-03-01,0.0,2021,March,3
ATACORA,2021-03-01,0.53,2021,March,3
DONGA,2021-03-01,14.774999999999999,2021,March,3
ZOU,2021-03-01,48.949461538461534,2021,March,3
HILLS,2021-03-01,58.2001893939394,2021,March,3
MONO,2021-03-01,46.25714285714285,2021,March,3
COUFFO,2021-03-01,53.18285714285715,2021,March,3
OUEME,2021-03-01,92.19411764705882,2021,March,3
PLATEAU,2021-03-01,60.83684210526315,2021,March,3
ATLANTIC,2021-03-01,62.909166666666664,2021,March,3
LITTORAL,2021-03-01,31.39333333333333,2021,March,3
BORGOU,2022-03-01,20.981612903225805,2022,March,3
ALIBORI,2022-03-01,1.6111111111111112,2022,March,3
ATACORA,2022-03-01,22.14666666666667,2022,March,3
DONGA,2022-03-01,25.745000000000005,2022,March,3
ZOU,2022-03-01,132.64655172413794,2022,March,3
HILLS,2022-03-01,50.553870967741936,2022,March,3
MONO,2022-03-01,46.364705882352936,2022,March,3
COUFFO,2022-03-01,23.374285714285715,2022,March,3
OUEME,2022-03-01,60.98823529411764,2022,March,3
PLATEAU,2022-03-01,65.62727272727273,2022,March,3
ATLANTIC,2022-03-01,48.225,2022,March,3
LITTORAL,2022-03-01,62.036666666666676,2022,March,3
BORGOU,2023-03-01,11.7009375,2023,March,3
ALIBORI,2023-03-01,4.7813852813852815,2023,March,3
ATACORA,2023-03-01,15.406089743589744,2023,March,3
DONGA,2023-03-01,35.895,2023,March,3
ZOU,2023-03-01,69.57153846153847,2023,March,3
HILLS,2023-03-01,72.54115530303031,2023,March,3
MONO,2023-03-01,115.62727272727273,2023,March,3
COUFFO,2023-03-01,89.7657142857143,2023,March,3
OUEME,2023-03-01,130.41470588235296,2023,March,3
PLATEAU,2023-03-01,153.87,2023,March,3
ATLANTIC,2023-03-01,83.91666666666666,2023,March,3
LITTORAL,2023-03-01,70.19,2023,March,3
BORGOU,2012-04-01,81.75,2012,April,4
ALIBORI,2012-04-01,20.9,2012,April,4
ATACORA,2012-04-01,80.45,2012,April,4
DONGA,2012-04-01,65.79,2012,April,4
ZOU,2012-04-01,177.52,2012,April,4
HILLS,2012-04-01,104.34,2012,April,4
MONO,2012-04-01,83.43,2012,April,4
COUFFO,2012-04-01,121.33,2012,April,4
OUEME,2012-04-01,212.93,2012,April,4
PLATEAU,2012-04-01,197.5,2012,April,4
ATLANTIC,2012-04-01,97.59,2012,April,4
LITTORAL,2012-04-01,154.75,2012,April,4
BORGOU,2013-04-01,65.78895833333333,2013,April,4
ALIBORI,2013-04-01,60.20624999999999,2013,April,4
ATACORA,2013-04-01,84.83333333333334,2013,April,4
DONGA,2013-04-01,93.825,2013,April,4
ZOU,2013-04-01,145.51666666666668,2013,April,4
HILLS,2013-04-01,105.19555555555554,2013,April,4
MONO,2013-04-01,160.35277777777776,2013,April,4
